,accession,strain
641,AM939598,H0-5440-288-05
642,AM939599,H0-6486-445-06
643,AM939600,H0-6334-528-06
644,AM939601,H0-6290-136-06
645,AM939602,H0-6344-349-06
646,AM939603,H0-5454-265-05
647,AM939604,H0-6332-439-06
648,AM939605,H0-6290-135-06
649,AM939606,H0-6344-348-06
650,AM939607,H0-6364-255-06
651,AY055125,N6270-TW-98
652,AY055126,N4643-TW-98
653,AY055127,N5033-TW-98
654,AY055129,N5296-TW-98
655,AY055130,N6071-TW-98
656,AY055131,N6182-TW-98
657,AY055132,H0382-TW-98
658,AY055133,N6174-TW-98
659,AY055136,N6128-TW-98
660,AY055138,N6252-TW-98
661,AY055140,N5698-TW-98
662,AY055142,N5062-TW-98
663,AY055143,N5055-TW-98
664,AY055146,N6064-TW-98
665,AY055147,N5761-TW-98
666,AY055149,M0226-TW-00
667,AY055150,S9086-TW-98
668,AY055151,N5157-TW-98
669,AY055153,N7129-TW-99
670,AY055158,H0575-TW-00
671,AY055160,N0118-TW-00
672,AY055161,S0042-TW-00
673,AY055169,H0218-TW-00
674,AY055171,M0167-TW-00
675,AY055172,N1554-TW-00
676,AY055173,236-TW-86
677,AY055174,N5101-TW-98
678,AY055175,S0296-TW-00
679,AY055176,S0309-TW-00
680,AY055177,N1643-TW-00
681,AY055178,H0444-TW-00
682,AY055179,M0652-TW-00
683,AY055180,N1059-TW-00
684,AY055181,N1034-TW-00
685,AY055182,H0493-TW-00
686,AY055183,H0148-TW-00
687,AY055184,M0267-TW-00
688,AY055185,M0177-TW-00
689,AY055186,M0200-TW-00
690,AY055187,M0485-TW-00
691,AY055188,M0201-TW-00
692,AY055189,S0463-TW-99
693,AY055190,M0225-TW-00
694,AY055191,H0001-TW-98
695,AY055192,N5055-TW-98
696,AY055193,H0139-TW-98
697,AY055194,N4643-TW-98
698,AY055195,H0358-TW-98
699,AY055196,N5385-TW-98
700,AY055197,N6356-TW-98
701,AY055198,N6108-TW-98
702,AY055199,N5811-TW-98
703,AY055200,N5202-TW-98
704,AY055201,N7008-TW-99
705,AY079098,Germany/FS/98
706,AY123942,0915-MA87/USA/87
707,AY123943,1011-ND79/USA/79
708,AY123944,10181-NM78/USA/78
709,AY123945,1413-CA87/USA/87
710,AY123946,1873-CT94/USA/94
711,AY123947,1919-NM94/USA/94
712,AY123948,2037-MD95/USA/95
713,AY123949,228-NY72/USA/72
714,AY123950,2229-NY76/USA/76
715,AY123951,2230-NY76/USA/76
716,AY123952,2231-NY77/USA/77
717,AY123953,2235-NY77/USA/77
718,AY123954,6910-OK87/USA/87
719,AY123955,7633-PA87/USA/87
720,AY123956,7673-CT87/USA/87
721,AY123957,8102-WA87/USA/87
722,AY125966,KOR-EV71-01/KOR/00
723,AY125967,KOR-EV71-02/KOR/00
724,AY125968,KOR-EV71-03/KOR/00
725,AY125969,KOR-EV71-05/KOR/00
726,AY125970,KOR-EV71-06/KOR/00
727,AY125971,KOR-EV71-07/KOR/00
728,AY125972,KOR-EV71-08/KOR/00
729,AY125973,KOR-EV71-09/KOR/00
730,AY125974,KOR-EV71-10/KOR/00
731,AY125975,KOR-EV71-11/KOR/00
732,AY125976,KOR-EV71-13/KOR/00
733,AY125984,3526/SIN/98
734,AY125985,3799/SIN/98
735,AY125986,4575/SIN/98
736,AY125987,4915/SIN/99
737,AY125988,5511/SIN/00
738,AY125991,5536/SIN/00
739,AY125992,5769/SIN/00
740,AY125993,2027/SIN/01
741,AY125994,2267/SIN/01
742,AY125995,MY821-3/SAR/97
743,AY125996,MY860-3/SAR/97
744,AY125997,MY104-9/SAR/97
745,AY125998,S10822/SAR/98
746,AY125999,S10862/SAR/98
747,AY126000,S11051/SAR/98
748,AY126001,CN0942/SAR/00
749,AY126002,CN9502/SAR/00
750,AY126003,S40221/SAR/00
751,AY126004,SB1647/SAR/00
752,AY126005,S21082/SAR/00
753,AY126006,SB2864/SAR/00
754,AY126007,10M/AUS/6/99
755,AY126008,4F/AUS/4/99
756,AY126009,5M/AUS/5/99
757,AY126010,7F/AUS/6/99
758,AY126011,14F/AUS/9/99
759,AY126012,8M/AUS/6/99
760,AY126013,9F/AUS/6/99
761,AY126014,1M/AUS/12/00
762,AY189153,S18191/SAR/02
763,AY189154,S18191/SAR/02
764,AY207611,03907-MAA-97
765,AY207612,03784-MAA-97
766,AY207613,03300-MAA-97
767,AY207614,0870-MAA-97
768,AY207615,03750-MAA-97
769,AY207616,0473-MAA-97
770,AY207617,0778-MAA-00
771,AY207618,0807-MAA-00
772,AY207619,0836-MAA-00
773,AY207620,0915-MAA-00
774,AY207621,0937-MAA-00
775,AY207622,0948-MAA-00
776,AY207623,0042-MAA-00
777,AY207624,0066-MAA-00
778,AY207625,0113-MAA-00
779,AY207626,0389-MAA-00
780,AY207627,0431-MAA-00
781,AY207628,0467-MAA-00
782,AY207629,0838-MAA-99
783,AY207630,0808-MAA-98
784,AY207631,0557-MAA-98
785,AY207632,0832-MAA-00
786,AY207633,0815-MAA-00
787,AY207634,0774-MAA-00
788,AY207635,05716-MAA-00
789,AY207636,04716-MAA-97
790,AY207637,0343-MAA-97
791,AY207638,0283-MAA-97
792,AY207639,0245-MAA-97
793,AY207640,0175-MAA-97
794,AY207641,0036-MAA-97
795,AY207642,0899-MAA-97
796,AY207643,0898-MAA-97
797,AY207644,0897-MAA-97
798,AY207645,0884-MAA-97
799,AY207646,0414-MAA-97
800,AY207647,0128-MAA-97
801,AY207648,0903-MAA-97
802,AY207649,0091-MAA-97
803,AY207650,0919-MAA-99
804,AY207651,0627-MAA-99
805,AY207652,0615-MAA-99
806,AY207653,0749-MAA-99
807,AY258294,SB9869-SAR-03
808,AY258295,SB9604-SAR-03
809,AY258296,SB9582-SAR-03
810,AY258297,SB9579-SAR-03
811,AY258298,SB9564-SAR-03
812,AY258299,SB9533-SAR-03
813,AY258300,SB9522-SAR-03
814,AY258301,SB9508-SAR-03
815,AY258302,SB9465-SAR-03
816,AY258305,S110121-SAR-03
817,AY258306,S110101-SAR-03
818,AY258307,S110031-SAR-03
819,AY258309,S19871-SAR-03
820,AY258310,S19841-SAR-03
821,AY258312,S19761-SAR-03
822,AY258313,S19741-SAR-03
823,AY258314,S19731-SAR-03
824,AY258315,S19691-SAR-03
825,AY258316,CN30552-SAR-03
826,AY258317,CN30014-SAR-03
827,AY258319,4381-SIN-02
828,AY278249,73442-PA-99
829,AY465356,SHZH03
830,AY547499,EV71-SHH02-6
831,AY547500,SHH02-17/GD/SH/CHN/2002
832,AY547501,CQ03-1/CQ/CHN/2003
833,AY694124,s-4-112_03
834,AY694125,s-4-126_03
835,AY694126,s-4-144_03
836,AY722882,0907-SYD-83
837,AY722883,4955-SYD-86
838,AY722884,1058-SYD-86
839,AY722885,8005-SYD-86
840,AY722886,7610-SYD-86
841,AY722887,6887-SYD-86
842,AY722888,6955-SYD-86
843,AY722889,2197-SYD-86
844,AY722890,6560-SYD-86
845,AY722891,5409-SYD-86
846,AY722892,1411-SYD-86
847,AY722893,5408-SYD-86
848,AY722894,7870-SYD-86
849,AY722895,3032-SYD-86
850,AY722896,3717-SYD-86
851,AY722897,0863-SYD-87
852,AY722898,4812-SYD-89
853,AY722899,5596-SYD-89
854,AY722900,5088-SYD-90
855,AY722901,0649-SYD-90
856,AY722902,7784-SYD-90
857,AY722903,4615-SYD-90
858,AY722904,1182-SYD-91
859,AY722905,0681-SYD-91
860,AY722906,9855-SYD-91
861,AY722907,5247-SYD-92
862,AY722908,2978-SYD-92
863,AY722909,1065-SYD-94
864,AY722910,2266-SYD-00
865,AY722911,2790-SYD-01
866,AY722912,2573-SYD-01
867,AY722913,2999-SYD-01
868,AY722914,3242-SYD-01
869,AY722915,2287-SYD-01
870,AY817059,75/00/TW
871,AY817060,109/01/TW
872,AY817061,250/86/TW
873,AY817062,251/99/TW
874,AY817063,427/99/TW
875,AY817064,532/00/TW
876,AY817065,T685/04/TW
877,AY817066,1043/01/TW
878,AY817067,1104/01/TW
879,AY817068,2002/00/TW
880,AY817069,2644/04/TW
881,AY817070,4688/04/TW
882,AY817071,4694/04/TW
883,AY817072,4693/04/TW
884,AY817073,C1481/00/TW
885,AY817074,C2446/01/TW
886,AY817075,C2564/01/TW
887,AY817076,C1153/00/TW
888,AY817077,C3346/02/TW
889,AY817078,K002/01/TW
890,AY817079,C3485/02/TW
891,AY817080,K0381/01/TW
892,AY817081,K614/04/TW
893,AY817084,K650/04/TW
894,AY817085,K793/04/TW
895,AY817086,K847/04/TW
896,AY817087,K848/04/TW
897,AY895092,shzh04-J41
898,AY895129,shzh04-J38
899,AY895130,shzh02-40
900,AY895131,shzh04-J42
901,AY895132,ShZh01-3/GD/CHN/2001
902,AY895133,shzh03-105
903,AY895134,shzh01-4
904,AY895135,shzh03-58
905,AY895136,ShZh02-62/GD/CHN/2002
906,AY895137,shzh04-J40
907,AY895138,ShZh03-106/GD/CHN/2003
908,AY895139,shzh04-2
909,AY895140,shzh04-J39
910,AY895141,shzh04-23
911,AY895142,ShZh04-3/GD/CHN/2004
912,AY895143,shzh04-20
913,AY895144,shzh04-12
914,AY895145,shzh04-38
915,AY905545,SB12869-SAR-03
916,AY905546,SB12282-SAR-03
917,AY905548,SB12007-SAR-03
918,AY905549,SB11977-SAR-03
919,AY905614,ZJ03-1/ZJ/CHN/2003
920,AY905615,ZJ-CHN-2-03
921,AY905616,ZJ-CHN-3-03
922,AY905617,ZJ-CHN-4-03
923,AY905618,ZJ-CHN-5-03
924,AY905619,ZJ-CHN-6-03
925,AY940100,9901-SYD-01
926,AY940101,9902-SYD-01
927,AY940102,9906-SYD-01
928,AY940103,9911-SYD-01
929,AY940104,9912-SYD-01
930,AY940105,9917-SYD-01
931,AY940106,9918-SYD-00
932,AY940107,9923-SYD-01
933,AY940108,9924-SYD-00
934,AY940109,9929-SYD-00
935,AY940110,1095-SYD-95
936,AY940111,1232-SYD-96
937,AY940112,1181-SYD-98
938,AY940113,0964-SYD-98
939,AY956567,Germany/356/2003
940,AY956570,Germany/802/2003
941,DK2302619,DK2302619
942,DK2406157,DK2406157
943,DQ008988,CDC153/03
944,DQ008989,CDC691/03
945,DQ008990,CDC695/03
946,DQ008991,N1416/04
947,DQ008992,N2472/04
948,DQ008993,N2838/03
949,DQ008994,N2852/04
950,DQ008995,N2947/04
951,DQ008996,S37/03
952,DQ008997,VI4705/04
953,DQ008998,CDC701/03
954,DQ060149,pinf7-54A
955,DQ100442,1301/05
956,DQ100443,1396/05
957,DQ100444,1386/05
958,DQ341354,3799-SIN-98
959,DQ341355,06-KOR-00
960,DQ341356,03-KOR-00
961,DQ341357,7F-AUS-6-99
962,DQ341361,1M-AUS-12-00
963,DQ341363,S19841-SAR-03
964,DQ341364,5511-SIN-00
965,DQ341367,MY821-3-SAR-97
966,DQ341368,MY104-9-SAR-97
967,DQ381846,6F/AUS/6/99
968,DQ452074,804/NO/03
969,DQ666684,TW-2004-104
970,DQ841953,AFP98111341/TAI/1998
971,DQ841964,E2004104/TAI/2004
972,DQ841971,E20051733/TAI/2005
973,E11643,T86236a
974,EF063152,E2005125-TW
975,EF203407,SI01/TH_NMA_/06
976,EU019910,BJ4243
977,EU024958,BJ4211
978,EU072166,313V
979,EU072167,1286S
980,EU131727,S0875TW-99
981,EU131729,S0943TW-99
982,EU131730,M0167TW-00
983,EU131731,N0716TW-00
984,EU131733,N2443TW-02
985,EU131735,N3496TW-02
986,EU131737,N3793TW-01
987,EU131738,5145TW-98
988,EU131740,N2838TW-03
989,EU131741,237TW-86
990,EU131776,N3340-TW-02
991,EU376005,26M/AUS/4/99
992,EU414331,LR-CH-06
993,EU414332,ST-CH-06
994,EU414333,CSF-CH-06
995,EU414334,PLday4-CH-06
996,EU414335,PLday1-CH-06
997,EU527983,2007-07364
998,EU697903,AnHui-HeFei-1
999,EU703812,FY17.08-1/AN/CHN/2008
1000,EU703813,FY17.08-2/AN/CHN/2008
1001,EU703814,FY17.08-3/AN/CHN/2008
1002,EU729114,Kor07-EV71-01cn
1003,EU729116,Kor07-EV71-03cn
1004,EU729118,Kor07-EV71-06gj
1005,EU729119,Kor07-EV71-07gj
1006,EU729120,Kor07-EV71-08gj
1007,EU729122,Kor07-EV71-11gj
1008,EU753363,518-01F/SD/CHN/2007
1009,EU753364,518-02F/SD/CHN/07
1010,EU753365,518-03F/SD/CHN/2007
1011,EU753366,519-02F/SD/CHN/2007
1012,EU753367,521-03T/SD/CHN/07
1013,EU753368,521-04F/SD/CHN/07
1014,EU753369,521-04T/SD/CHN/2007
1015,EU753370,521-05T/SD/CHN/07
1016,EU753371,521-08F/SD/CHN/07
1017,EU753372,521-09F/SD/CHN/2007
1018,EU753373,521-14F/SD/CHN/07
1019,EU753374,521-17F/SD/CHN/07
1020,EU753375,521-18S/SD/CHN/2007
1021,EU753376,521-19T/SD/CHN/07
1022,EU753377,521-20F/SD/CHN/07
1023,EU753378,521-23F/SD/CHN/07
1024,EU753379,521-25F/SD/CHN/2007
1025,EU753380,521-27F/SD/CHN/07
1026,EU753381,522-01T/SD/CHN/07
1027,EU753382,522-02F/SD/CHN/07
1028,EU753383,522-03F/SD/CHN/07
1029,EU753384,522-04T/SD/CHN/2007
1030,EU753385,522-07T/SD/CHN/07
1031,EU753386,522-08T/SD/CHN/2007
1032,EU753387,522-16F/SD/CHN/07
1033,EU753388,522-17F/SD/CHN/07
1034,EU753389,522-17T/SD/CHN/2007
1035,EU753390,522-18T/SD/CHN/07
1036,EU753391,522-19F/SD/CHN/07
1037,EU753392,522-21F/SD/CHN/07
1038,EU753393,522-23F/SD/CHN/07
1039,EU753394,522-24F/SD/CHN/07
1040,EU753395,523-03F/SD/CHN/07
1041,EU753396,523-04F/SD/CHN/07
1042,EU753397,523-05T/SD/CHN/2007
1043,EU753398,523-07T/SD/CHN/2007
1044,EU753399,523-10F/SD/CHN/07
1045,EU753400,523-10T/SD/CHN/07
1046,EU753401,523-11F/SD/CHN/07
1047,EU753402,523-11T/SD/CHN/2007
1048,EU753403,523-13T/SD/CHN/07
1049,EU753404,523-14T/SD/CHN/07
1050,EU753405,523-15F/SD/CHN/07
1051,EU753406,523-15T/SD/CHN/07
1052,EU753407,TC03F/SD/CHN/2007
1053,EU753408,TC06T/SD/CHN/07
1054,EU753409,TC08F/SD/CHN/2007
1055,EU753410,TC09F/SD/CHN/07
1056,EU753411,TC14F/SD/CHN/07
1057,EU753412,TC14T/SD/CHN/07
1058,EU753413,TC16T/SD/CHN/2007
1059,EU753414,TC20F/SD/CHN/07
1060,EU753415,TC20T/SD/CHN/07
1061,EU753416,TC22F/SD/CHN/07
1062,EU753417,TC23F/SD/CHN/2007
1063,EU753418,TC24F/SD/CHN/2007
1064,EU812515,FY23
1065,EU864507,EV71/Zhejiang08
1066,EU910861,0708T/NM/CHN/07
1067,EU910862,0709F/NM/CHN/07
1068,EU910863,0711F/NM/CHN/07
1069,EU910864,0712F/NM/CHN/07
1070,EU910865,0715F/NM/CHN/07
1071,EU910866,0716F/NM/CHN/07
1072,EU910867,0717F/NM/CHN/07
1073,EU910868,0718F/NM/CHN/07
1074,EU910869,0723F/NM/CHN/07
1075,EU913466,Fuyang22
1076,EU913467,Fuyang5
1077,EU913468,Fuyang26
1078,EU913469,Fuyang44
1079,EU913470,Fuyang31
1080,EU913471,Fuyang49
1081,EU999170,Zhuhai-JC467
1082,EU999171,Zhuhai-JC455
1083,EU999172,Zhuhai-JC498
1084,EU999173,Zhuhai-213
1085,EU999174,Zhuhai-171
1086,EU999175,Zhuhai-164
1087,EU999176,Zhuhai-152
1088,EU999177,Xinhui-7
1089,EU999178,Xinhui-8
1090,EU999179,Xinhui-9
1091,FJ151491,THA_07_01644
1092,FJ151492,THA_07_01647
1093,FJ151493,THA_07_01865
1094,FJ151494,THA_08_12242
1095,FJ151495,THA_08_17184
1096,FJ151496,THA_08_17462
1097,FJ151498,THA_07_02073
1098,FJ151499,THA_08_17570
1099,FJ151500,THA_07_01861
1100,FJ151501,THA_08_12883
1101,FJ151502,THA_08_17461
1102,FJ158600,DTID/ZJU-62
1103,FJ158601,DTID/ZJU-74
1104,FJ194964,EV71/GDFS/3/2008
1105,FJ194965,EV71/GDSG/17/2008
1106,FJ357378,N2838-TW03
1107,FJ357380,TW-237-1986
1108,FJ357385,M0380-TW08
1109,FJ360544,GZ-08-01
1110,FJ360545,GZ-08-02
1111,FJ360546,GZ-08-03
1112,FJ439769,Fuyang-0805
1113,FJ461783,NUH0047/SIN/08
1114,FJ461784,NUH0086/SIN/08
1115,FJ461785,NUH0085/SIN/08
1116,FJ461786,NUH0013/SIN/08
1117,FJ461787,NUH0043/SIN/08
1118,FJ461788,NUH0037/SIN/08
1119,FJ469152,CY6/BJ/CHN/2008
1120,FJ469153,CY11/BJ/CHN/2008
1121,FJ469154,CY15/BJ/CHN/2008
1122,FJ469155,CY17/BJ/CHN/2008
1123,FJ469156,CY20/BJ/CHN/2008
1124,FJ469157,CY21/BJ/CHN/2008
1125,FJ469158,CY28/BJ/CHN/2008
1126,FJ469159,Cy29/BJ/CHN/2008
1127,FJ469160,CY43/BJ/CHN/2008
1128,FJ469161,CY44/BJ/CHN/2008
1129,FJ472954,98-2625/Stuttgart/DEU
1130,FJ472955,00-408/Berlin/DEU
1131,FJ472956,00-437/Berlin/DEU
1132,FJ472957,00-540/Hannover/DEU
1133,FJ472958,00-704/Ulm/DEU
1134,FJ472959,00-705/Ulm/DEU
1135,FJ472960,01-195/Stuttgart/DEU
1136,FJ472961,01-259/Stuttgart/DEU
1137,FJ472962,03-271/Stuttgart/DEU
1138,FJ472963,03-280/Stuttgart/DEU
1139,FJ472964,04-275/Ulm/DEU
1140,FJ472965,06-180/Berlin/DEU
1141,FJ472966,07-63/Ulm/DEU
1142,FJ472967,07-66/Muenchen/DEU
1143,FJ472968,07-129/Ulm/DEU
1144,FJ472969,07-188/Muenchen/DEU
1145,FJ472970,07-329/Ulm/DEU
1146,FJ472971,07-435/Stuttgart/DEU
1147,FJ472972,07-466/Dresden/DEU
1148,FJ472973,07-352/Stuttgart/DEU
1149,FJ525952,CSF-2431/08
1150,FJ556873,THA_08_29778
1151,FJ556874,THA_08_29961
1152,FJ556875,THA_08_33951
1153,FJ594956,ZJ001
1154,FJ600325,EV71/Jiangsu/2008
1155,FJ606447,BJ08-Z004-3
1156,FJ606448,BJ08-Z011-4
1157,FJ606449,BJ08-Z020-1
1158,FJ606450,BJ08-Z025-5
1159,FJ607334,1/SHENZHEN/08/China/HFMD/2008
1160,FJ607335,4/SHENZHEN/08/China/HFMD/2008
1161,FJ607336,28/SHENZHEN/08/China/HFMD/2008
1162,FJ607337,121/SHENZHEN/08/China/HFMD Fatal/2008
1163,FJ607338,605/SHENZHEN/08/China/HFMD Severe/2008
1164,FJ713137,Shanghai 036-2009
1165,FJ765416,542-Anhui-08
1166,FJ765417,549-Anhui-08
1167,FJ765418,552-Anhui-08
1168,FJ765419,559-Anhui-08
1169,FJ765420,562-Anhui-08
1170,FJ765421,566-Anhui-08
1171,FJ765422,BJCDC01-08
1172,FJ765423,BJCDC03-08
1173,FJ765424,CC01-08
1174,FJ765425,kunming24-08
1175,FJ765426,kunming29-08
1176,FJ765427,kunming41-08
1177,FJ765428,SZ-A-08
1178,FJ765429,SZ-C-08
1179,FJ765430,SZ-H-08
1180,FJ765431,WH-2-08
1181,FJ765432,WH-3-08
1182,FJ765433,WH-4-08
1183,FJ765434,WH-8-08
1184,FJ765435,WH-9-08
1185,FJ824734,1416-FR-2007
1186,FJ824735,2208-FR-2008
1187,FJ824736,1946-FR-2008
1188,FJ828519,BJ08
1189,FJ846663,Siriraj06/TH/01
1190,FJ846664,Siriraj08/TH/01
1191,FJ846665,Siriraj12/TH/01
1192,FJ846666,Siriraj15/TH/01
1193,FJ846667,Siriraj23/TH/01
1194,FJ846668,Siriraj28/TH/01
1195,FJ846669,Siriraj37/TH/01
1196,FJ846670,Siriraj16/TH/01
1197,FJ846671,Siriraj25/TH/01
1198,FJ846672,Siriraj45/TH/01
1199,FJ846673,Siriraj36/TH/01
1200,FJ846674,Siriraj17/TH/01
1201,FJ846675,Siriraj01/TH/04
1202,FJ846676,Siriraj24/TH/03
1203,FJ846677,Siriraj07/TH/03
1204,FJ846678,Siriraj25/TH/03
1205,FJ846679,Siriraj15/TH/03
1206,FJ846680,Siriraj18/TH/03
1207,FJ846681,Siriraj12/TH/03
1208,FJ846682,Siriraj19/TH/03
1209,FJ862987,Siriraj04/TH/06
1210,FJ862988,Siriraj01/TH/07
1211,FJ862989,Siriraj02/TH/07
1212,FJ862990,Siriraj03/TH/07
1213,FJ862991,Siriraj04/TH/07
1214,FJ862992,Siriraj01/TH/08
1215,FJ862993,Siriraj02/TH/06
1216,FJ862994,Siriraj03/TH/06
1217,FJ868281,20.2.04
1218,FJ960478,0607-6
1219,FJ960484,V840
1220,FJ960502,V1063
1221,FM201328,EV71/BRU/2006/33930
1222,FM201329,EV71/BRU/2006/34095
1223,FM201330,EV71/BRU/2006/34099
1224,FM201331,EV71/BRU/2006/34111
1225,FM201332,EV71/BRU/2006/34235
1226,FM201333,EV71/BRU/2006/34355
1227,FM201334,EV71/BRU/2006/34456
1228,FM201335,EV71/BRU/2006/34597
1229,FM201336,EV71/BRU/2006/34700
1230,FM201337,EV71/BRU/2006/34701
1231,FM201338,EV71/BRU/2006/35053
1232,FM201339,EV71/BRU/2006/35207
1233,FM201340,EV71/BRU/2006/35245
1234,FM201341,EV71/BRU/2006/35247
1235,FM201342,EV71/BRU/2006/35334
1236,FM201343,EV71/BRU/2006/35335
1237,FM201344,EV71/BRU/2006/35338
1238,FM201345,EV71/BRU/2006/35341
1239,FM201346,EV71/BRU/2006/35379
1240,FM201347,EV71/BRU/2006/35479
1241,FM201348,EV71/BRU/2006/35640
1242,FM201349,EV71/BRU/2006/35641
1243,FM201350,EV71/BRU/2006/35643
1244,FM201351,EV71/BRU/2006/35645
1245,FM201352,EV71/BRU/2006/35646
1246,FM201353,EV71/BRU/2006/35649
1247,FM201354,EV71/BRU/2006/35652
1248,FM201355,EV71/BRU/2006/35653
1249,FM201356,EV71/BRU/2006/35728
1250,FM201357,EV71/BRU/2006/35730
1251,FM201358,EV71/BRU/2006/35731
1252,FM201359,EV71/BRU/2006/35732
1253,FM201360,EV71/BRU/2006/35754
1254,FM201361,EV71/BRU/2006/35755
1255,FM201321,EV71/MY/2006/1764281
1256,FM201322,EV71/MY/2006/1764283
1257,FM201323,EV71/MY/2006/1764454
1258,FM201324,EV71/MY/2006/1764589
1259,FM201325,EV71/MY/2006/1764739
1260,FM201326,EV71/MY/2006/1765017
1261,FM201327,EV71/MY/2006/1765058
1262,FN598720,NAN10838_FRA94
1263,FN598721,LYO28978_FRA99
1264,FN598722,ANN1254_FRA00
1265,FN598723,ANN1256_FRA00
1266,FN598724,CAE1053_FRA00
1267,FN598725,CF605_FRA00
1268,FN598726,CF1113_FRA00
1269,FN598727,CF1744_FRA00
1270,FN598728,GRE1244_FRA00
1271,FN598729,LYO11178_FRA00
1272,FN598730,NAN23154_FRA00
1273,FN598731,POI515_FRA00
1274,FN598732,ANG737_FRA03
1275,FN598733,CAE571_FRA03
1276,FN598734,CF097017_FRA03
1277,FN598735,GRE454_FRA03
1278,FN598736,LYO11868_FRA03
1279,FN598737,LYO16282_FRA03
1280,FN598738,LYO23597_FRA03
1281,FN598739,CAE201_FRA04
1282,FN598740,CAE869_FRA04
1283,FN598741,CF192013_FRA04
1284,FN598742,LYO06972_FRA04
1285,FN598743,NAN696_FRA04
1286,FN598744,LYO05158_FRA05
1287,FN598745,POI777_FRA05
1288,FN598746,ANG100_FRA06
1289,FN598747,ANG544_FRA06
1290,FN598748,CAE739_FRA06
1291,FN598749,CF210042_FRA06
1292,FN598750,CF341034_FRA06
1293,FN598751,GRE580_FRA06
1294,FN598752,GRE594_FRA06
1295,FN598753,LYO02346_FRA06
1296,FN598754,LYO03126_FRA06
1297,FN598755,LYO10531_FRA06
1298,FN598756,LYO24365_FRA06
1299,FN598757,LYO25400_FRA06
1300,FN598758,LYO26277_FRA06
1301,FN598759,NAN387_FRA06
1302,FN598760,NAN405_FRA06
1303,FN598761,NAN488_FRA06
1304,FN598762,BRE324_FRA07
1305,FN598763,CF078034_FRA07
1306,FN598764,CF139030_FRA07
1307,FN598765,DIJ494_FRA07
1308,FN598766,GRE29_FRA07
1309,FN598767,LMA55_FRA07
1310,FN598768,LYO23284_FRA07
1311,FN598769,NAN74_FRA07
1312,FN598770,NAN197_FRA07
1313,FN598771,NAN198_FRA07
1314,FN598772,NAN215_FRA07
1315,FN598773,NAN293_FRA07
1316,FN598774,BRE537_FRA08
1317,FN598775,NAN256_FRA08
1318,FN598776,NAN257_FRA08
1319,FN598777,ANG261_FRA09
1320,FN649243,CHE516_GER87
1321,FN649244,BER409_GER00
1322,FN649245,HAN540_GER00
1323,FN649246,ULM705_GER00
1324,FN649247,STU554409_GER03
1325,FN649248,STU562356_GER03
1326,FN649249,STU563449_GER03
1327,FN649250,STU565802_GER03
1328,FN649251,STU565890_GER03
1329,FN649252,ULM275_GER04
1330,FN649253,STU408070_GER04
1331,FN649254,STU499202_GER04
1332,FN649255,STU535542_GER04
1333,FN649256,BER180_GER06
1334,FN649257,ULM63_GER07
1335,FN649258,MUE66_GER07
1336,FN649259,STU537622_GER07
1337,FN649260,STU545774_GER07
1338,FN649261,STU553555_GER07
1339,FN649262,STU563062_GER07
1340,FN649263,STU543078_GER08
1341,FN649264,STU546711_GER08
1342,FN649265,STU572078_GER08
1343,FN649266,STU583939_GER08
1344,FN649267,VIE94_AUT01
1345,FN649268,STY21_AUT03
1346,FN649269,LAUS148_AUT04
1347,FN665291,NAN10838_FRA94
1348,FN665292,LYO28978_FRA99
1349,FN665293,ANN1254_FRA00
1350,FN665294,ANN1256_FRA00
1351,FN665295,CAE1053_FRA00
1352,FN665296,CF605_FRA00
1353,FN665297,CF1113_FRA00
1354,FN665298,CF1744_FRA00
1355,FN665299,GRE1244_FRA00
1356,FN665300,NAN23154_FRA00
1357,FN665301,POI515_FRA00
1358,FN665302,ANG737_FRA03
1359,FN665303,CAE571_FRA03
1360,FN665304,CF097017_FRA03
1361,FN665305,GRE454_FRA03
1362,FN665306,LYO11868_FRA03
1363,FN665307,LYO16282_FRA03
1364,FN665308,LYO23597_FRA03
1365,FN665309,CAE201_FRA04
1366,FN665310,CAE869_FRA04
1367,FN665311,CF192013_FRA04
1368,FN665312,LYO06972_FRA04
1369,FN665313,NAN696_FRA04
1370,FN665314,LYO05158_FRA05
1371,FN665315,POI777_FRA05
1372,FN665316,ANG100_FRA06
1373,FN665317,ANG544_FRA06
1374,FN665318,CAE739_FRA06
1375,FN665319,CF210042_FRA06
1376,FN665320,CF341034_FRA06
1377,FN665321,GRE580_FRA06
1378,FN665322,GRE594_FRA06
1379,FN665323,LYO02346_FRA06
1380,FN665324,LYO10531_FRA06
1381,FN665325,LYO24365_FRA06
1382,FN665326,LYO25400_FRA06
1383,FN665327,LYO26277_FRA06
1384,FN665328,NAN387_FRA06
1385,FN665329,NAN405_FRA06
1386,FN665330,NAN488_FRA06
1387,FN665331,BRE324_FRA07
1388,FN665332,CF078034_FRA07
1389,FN665333,CF139030_FRA07
1390,FN665334,DIJ494_FRA07
1391,FN665335,GRE29_FRA07
1392,FN665336,LMA55_FRA07
1393,FN665337,LYO23284_FRA07
1394,FN665338,NAN74_FRA07
1395,FN665339,NAN197_FRA07
1396,FN665340,NAN198_FRA07
1397,FN665341,NAN215_FRA07
1398,FN665342,NAN293_FRA07
1399,FN665343,BRE537_FRA08
1400,FN665344,NAN256_FRA08
1401,FN665345,NAN257_FRA08
1402,FN665346,ANG261_FRA09
1403,FN665347,CHE516_GER87
