,accession,strain
203,AB213625,1067-Yamagata-00
204,AB213626,1084-Yamagata-00
205,AB213627,1695-Yamagata-01
206,AB213628,1814-Yamagata-01
207,AB213629,2779-Yamagata-02
208,AB213630,452-Yamagata-03
209,AB213631,638-Yamagata-03
210,AB213632,828-Yamagata-03
211,AB213633,944-Yamagata-03
212,AB213634,946-Yamagata-03
213,AB213635,1144-Yamagata-03
214,AB213636,1268-Yamagata-03
215,AB213637,1469-Yamagata-03
216,AB213638,1530-Yamagata-03
217,AB213639,1716-Yamagata-03
218,AB213640,1725-Yamagata-03
219,AB213641,1799-Yamagata-03
220,AB213642,1897-Yamagata-03
221,AB213643,2091-Yamagata-03
222,AB213644,2316-Yamagata-03
223,AB213645,2321-Yamagata-03
224,AB213646,2399-Yamagata-03
225,AB213647,2419-Yamagata-03
226,AB213648,2933-Yamagata-03
227,AB213649,2934-Yamagata-03
228,AB213650,2972-Yamagata-03
229,AB286526,2916-TAI-98
230,AB433862,Y90-2913
231,AB433863,Y90-3205
232,AB433864,Y90-3761
233,AB433865,Y90-3896
234,AB433866,Y93-2008
235,AB433867,Y97-865
236,AB433868,Y97-1055
237,AB433869,Y97-1134
238,AB433871,2147-Yamagata-06
239,AB433877,2753-Yamagata-06
240,AB433878,2928-Yamagata-06
241,AB433879,56-Yamagata-07
242,AB433880,114-Yamagata-07
243,AB433881,1431-Yamagata-07
244,AB433882,1571-Yamagata-07
245,AB433883,1667-Yamagata-07
246,AB433884,1569-Yamagata-07
247,AB433885,1638-Yamagata-07
248,AB433886,1693-Yamagata-07
249,AB433887,1797-Yamagata-07
250,AB433889,1758-Yamagata-07
251,AB433890,1827-Yamagata-07
252,AB433891,1897-Yamagata-07
253,AB433892,1961-Yamagata-07
254,AB465406,204/Toyama/1983
255,AB465407,937/Toyama/1989
256,AB465408,278/Toyama/1994
257,AB465409,763/Toyama/1997
258,AB465410,800/Toyama/1997
259,AB465411,814/Toyama/1997
260,AB465412,818/Toyama/1997
261,AB465413,185/Toyama/2000
262,AB465414,270/Toyama/2003
263,AB465415,271/Toyama/2003
264,AB465416,287/Toyama/2003
265,AB465417,338/Toyama/2006
266,AB465418,339/Toyama/2006
267,AB465419,340/Toyama/2006
268,AB465420,341/Toyama/2006
269,AB465421,342/Toyama/2006
270,AB465422,343/Toyama/2006
271,AB465423,346/Toyama/2006
272,AB465424,347/Toyama/2006
273,AB465425,348/Toyama/2006
274,AB465426,349/Toyama/2006
275,AB465427,350/Toyama/2006
276,AB465428,351/Toyama/2006
277,AB465429,353/Toyama/2006
278,AB465430,354/Toyama/2006
279,AB465431,355/Toyama/2006
280,AB469182,SK-EV006/Malaysia/1997
281,AB491212,5603
282,AB491216,NL11341991
283,AB491217,NL38782002
284,AB491218,NL3652000
285,AB491219,NL25272007
286,AB491220,NL2652008
287,AB569429,07-TW-04176
288,AB569430,08-TW-05004
289,AB575912,10857
290,AB575913,11977
291,AB575914,17000
292,AB575923,20233
293,AB665730,OC091494-10
294,AB665731,OC091495-10
295,AB675638,DY2010-23
296,AB675639,DY2010-38
297,AB675640,DY2011-24
298,AB675641,DY2011-25
299,AB675642,DY2011-27
300,AB675643,DY2011-41
301,AB675644,DY2011-42
302,AB675645,DY2011-45
303,AB675646,DY2011-55
304,AB675647,DY2011-126
305,AB675648,DY2011-140
306,AB675649,DY2011-145
307,AB675650,DY2011-149
308,AB675651,DY2011-151
309,AB679718,SC10-25
310,AB679719,SC10-67
311,AB679720,SC10-68
312,AB679721,SC10-70
313,AB679722,SC10-102
314,AB679723,SC10-71
315,AB679724,SC10-90
316,AB679725,SC10-96
317,AB679726,SC10-27
318,AB679727,SC10-53
319,AB679728,SC10-54
320,AB679729,SC10-62
321,AB679730,SC10-64
322,AB679731,SC10-131
323,AB679732,SC10-229
324,AB679733,SC10-227
325,AB679734,SC10-236
326,AB679735,SC10-239
327,AB679736,SC10-246
328,AB679737,SC10-255
329,AB679738,SC10-256
330,AB679739,SC10-259
331,AB679740,SC10-267
332,AB679741,SC10-268
333,AB679742,SC10-274
334,AB679743,SC10-290
335,AB679744,SC10-294
336,AB777928,BrCr
337,AB936487,2065-Yamagata-2003
338,AB936477,1831-Yamagata-2003
339,AB936443,929-Yamagata-2003
340,AB936471,1586-Yamagata-2003
341,AB936460,1330-Yamagata-2003
342,AB936483,1879-Yamagata-2003
343,AB936484,1899-Yamagata-2003
344,AB936468,1526-Yamagata-2003
345,AB936494,1825-Yamagata-2009
346,AB936493,1793-Yamagata-2009
347,AB936501,3215-Yamagata-2009
348,AB936506,2950-Yamagata-2009
349,AB936523,2008-Yamagata-2010
350,AB936522,1801-Yamagata-2010
351,AB936525,1518-Yamagata-2012
352,AB936531,1701-Yamagata-2012
353,AB936536,1842-Yamagata-2012
354,AB936540,111-Yamagata-2013
355,AB936541,1615-Yamagata-2012
356,AB936544,1689-Yamagata-2012
357,AB936545,1749-Yamagata-2012
358,AB936553,2419-Yamagata-2012
359,AB936555,387-Yamagata-2013
360,AB936556,799-Yamagagta-2013
361,AB936557,1499-Yamagata-2013
362,AB936558,813-Yamagata-2013
363,AB936559,857-Yamagata-2013
364,AB936560,933-Yamagata-2013
365,AB936561,1437-Yamagata-2013
366,AF009522,7234-AK-87
367,AF009523,7962-PA-87
368,AF009524,7968-PA-87
369,AF009525,1410-CA-86
370,AF009526,8102-WA-87
371,AF009527,1413-CA-87
372,AF009528,1061-TN-87
373,AF009529,4827-CT-83
374,AF009530,7628-PA-87
375,AF009531,7629-PA-87
376,AF009532,7630-PA-87
377,AF009533,7631-PA-87
378,AF009534,7633-PA-87
379,AF009535,7673-CT-87
380,AF009536,8209-MD-87
381,AF009537,8279-PA-87
382,AF009538,3984-OH-82
383,AF009539,2219-IA-87
384,AF009540,2222-IA-88
385,AF009542,2246-NY-87
386,AF009543,2251-NY-93
387,AF009544,2253-NY-94
388,AF009545,2254-NY-94
389,AF009546,2264-CA-94
390,AF009547,0925-OR-91
391,AF009548,0926-OR-91
392,AF009549,0915-MA-87
393,AF009550,0916-MA-87
394,AF009551,1411-CA-90
395,AF009552,1919-NM-94
396,AF009553,1924-AZ-94
397,AF009554,2006-CT-94
398,AF009555,2007-CT-94
399,AF009556,2037-MD-95
400,AF009557,9541-TX-89
401,AF009558,9978-TX-89
402,AF009559,1873-CT-94
403,AF116805,TW/253/86
404,AF116807,TW/1457/98
405,AF116808,1499/98
406,AF116810,1567-TW-98
407,AF116811,1569/98
408,AF116812,1657/98
409,AF116814,TW/1465/98
410,AF116816,TW/1743/98
411,AF116819,TW-2086-98
412,AF116821,TW/2272/98
413,AF117633,TW/2272/98
414,AF119795,TW/2272/98
415,AF119796,TW/2086/98
416,AF135864,1011-ND-79
417,AF135865,10181-NM-78
418,AF135866,2114-TN-80
419,AF135867,2228-NY-72
420,AF135868,2229-NY-76
421,AF135869,2230-NY-76
422,AF135870,2231-NY-77
423,AF135871,2232-NY-77
424,AF135872,2234-NY-77
425,AF135873,2235-NY-77
426,AF135874,2236-NY-77
427,AF135875,2237-NY-77
428,AF135876,2238-NY-77
429,AF135877,2239-NY-77
430,AF135878,2241-NY-79
431,AF135879,2243-NY-79
432,AF135880,2258-CA-79
433,AF135881,2259-CA-82
434,AF135882,2260-CA-86
435,AF135883,2604-AUS-74
436,AF135884,2605-AUS-74
437,AF135885,2608-AUS-74
438,AF135886,2609-AUS-74
439,AF135887,2610-AUS-74
440,AF135888,2952-SD-81
441,AF135889,3663-MA-82
442,AF135890,3874-ND-82
443,AF135891,3885-UT-82
444,AF135892,3982-OH-82
445,AF135893,4224-MA-82
446,AF135894,4323-UT-83
447,AF135895,4599-OR-83
448,AF135896,4644-AR-83
449,AF135897,4826-CT-83
450,AF135898,5115-TX-83
451,AF135899,6658-COL-94
452,AF135900,6762-OK-86
453,AF135901,6910-OK-87
454,AF135902,7235-AK-87
455,AF135903,7289-NC-87
456,AF135904,7298-AK-87
457,AF135905,7632-PA-87
458,AF135906,7635-WA-87
459,AF135907,8149-AL-88
460,AF135911,0731-MAA-97 24EF
461,AF135914,2289-MAA-97 2517
462,AF135931,0359-TX-90
463,AF135932,0390-TX-90
464,AF135933,0443-TX-90
465,AF135934,0667-CHN-87
466,AF135935,0756-MAA-97
467,AF135936,1997-NC-94
468,AF135937,2132-VA-95
469,AF135938,2261-CA-91
470,AF135939,2262-CA-92
471,AF135940,2263-CA-94
472,AF135941,2286-TX-97
473,AF135942,2355-OK-97
474,AF135943,2381-MA-97
475,AF135944,2583-CAN-91
476,AF135945,2623/AUS/86
477,AF135946,2640-AUS-95
478,AF135947,2641-AUS-95
479,AF135948,2642-AUS-95
480,AF135949,2644-AUS-95
481,AF135950,2814-MO-98
482,AF135951,7237-AK-87
483,AF135952,7238-AK-87
484,AF135953,8495-VA-88
485,AF135954,9166-TX-89
486,AF135955,9243-OK-89
487,AF135956,9323-TX-89
488,AF135957,9718-TX-89
489,AF135958,9837-WA-89
490,AF135959,9873-NM-89
491,AF136379,NCKU9822-TW-98
492,AF138675,10181-NM-78
493,AF176044,1245a/98/tw
494,AF190566,1110-MAA-97
495,AF190576,1118-MAA-98
496,AF251224,16/Sin/98
497,AF251225,20/Sin/98
498,AF251226,26/Sin/98
499,AF251227,27/Sin/98
500,AF251228,36/Sin/97
501,AF251229,39/Sin/97
502,AF251230,55/Sin/97
503,AF251231,56/Sin/97
504,AF251232,57/Sin/97
505,AF251233,58/Sin/97
506,AF251234,28/Mal/98
507,AF251235,33/Mal/98
508,AF251236,34/Mal/98
509,AF251802,23/Jap/98
510,AF251803,46/Mal/97
511,AF251804,25/Mal/98
512,AF251805,47/Mal/97
513,AF251359,18/Sin/97
514,AF276912,072-KOR-00
515,AF276913,126-KOR-00
516,AF276914,129-KOR-00
517,AF286499,2850-TAI-98
518,AF286500,2851-TAI-98
519,AF286503,2862-TAI-98
520,AF286516,2896-TAI-98
521,AF286531,3254/TAI/1998
522,AF302996,SHZH98
523,AF304457,Tainan/5746/98
524,AF304458,Tainan/4643/98
525,AF304459,Tainan/6092/98
526,AF316321,5814/SIN/000009
527,AF314008,5546/SIN/000009
528,AF316322,5855/SIN/000009
529,AF352027,5666/SIN/02209
530,AF314003,22/5598/SIN/001909
531,AF314004,20/5589/SIN/001809
532,AF314007,9/5536/SIN/001409
533,AF314006,7/5506/SIN/001309
534,AY027864,TS/SIN/001002
535,AF376064,SB1191/SAR/00
536,AF376065,SB1647/SAR/00
537,AF376066,2864-SAR-00
538,AF376067,CN04104/SAR/00
539,AF376068,CN062334/SAR/00
540,AF376069,SB0635/SAR/00
541,AF376070,CN0942/SAR/00
542,AF376071,CN9502/SAR/00
543,AF376072,MY104-9-SAR-97
544,AF376073,MY16/I/SAR/97
545,AF376074,MY21/2/SAR/97
546,AF376075,MY6/2/SAR/97
547,AF376076,MY755/3/SAR/97
548,AF376077,MY821-3-SAR-97
549,AF376078,MY860/3/SAR/97
550,AF376079,S10822 /SAR/98
551,AF376080,S10862-SAR-98
552,AF376081,S11051-SAR-98
553,AF376082,S12172 /SAR/00
554,AF376083,S12502 /SAR/00
